conductor,insulation,method,cores,size_mm2,amps,source
Al,PVC,B2,2,10,41,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,10,49,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,10,47,"IS 732:2019 Table 21, method D1"
Al,PVC,A1,2,16,48,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,16,44,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,16,60,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,16,54,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,16,66,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,16,61,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,16,63,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,25,63,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,25,58,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,25,79,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,25,71,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,25,83,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,25,77,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,25,82,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,35,77,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,35,71,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,35,97,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,35,86,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,35,103,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,35,93,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,35,98,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,50,93,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,50,86,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,50,118,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,50,104,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,50,125,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,50,109,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,50,117,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,70,118,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,70,108,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,70,150,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,70,131,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,70,160,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,70,135,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,70,145,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,95,142,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,95,130,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,95,181,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,95,157,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,95,195,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,95,159,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,95,173,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,120,164,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,120,150,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,120,210,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,120,181,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,120,226,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,120,180,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,120,200,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,150,189,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,150,172,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,150,234,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,150,201,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,150,261,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,150,204,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,150,224,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,185,215,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,185,195,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,185,266,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,185,230,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,185,298,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,185,228,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,185,255,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,240,252,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,240,229,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,240,312,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,240,269,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,240,352,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,240,262,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,240,298,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,300,289,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,300,263,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,300,358,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,300,308,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,300,406,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,300,296,"IS 732:2019 Table 21, method D1"
Al,PVC,D2,2,300,336,"IS 732:2019 Table 21, method D2"
Cu,XLPE,A1,2,1.5,19,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,1.5,18.5,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,1.5,23,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,1.5,22,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,1.5,24,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,1.5,25,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,1.5,27,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,2.5,26,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,2.5,25,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,2.5,31,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,2.5,30,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,2.5,33,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,2.5,33,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,2.5,35,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,4,35,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,4,33,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,4,42,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,4,40,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,4,45,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,4,43,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,4,46,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,6,45,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,6,42,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,6,54,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,6,51,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,6,58,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,6,53,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,6,58,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,10,61,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,10,57,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,10,75,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,10,69,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,10,80,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,10,71,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,10,77,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,16,81,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,16,76,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,16,100,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,16,91,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,16,107,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,16,91,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,16,100,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,25,106,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,25,99,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,25,133,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,25,119,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,25,138,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,25,116,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,25,129,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,35,131,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,35,121,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,35,164,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,35,146,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,35,171,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,35,139,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,35,155,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,50,158,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,50,145,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,50,198,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,50,175,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,50,209,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,50,164,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,50,183,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,70,200,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,70,183,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,70,253,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,70,221,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,70,269,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,70,203,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,70,225,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,95,241,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,95,220,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,95,306,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,95,265,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,95,328,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,95,239,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,95,270,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,120,278,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,120,253,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,120,354,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,120,305,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,120,382,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,120,271,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,120,306,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,150,318,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,150,290,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,150,393,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,150,334,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,150,441,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,150,306,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,150,343,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,185,362,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,185,329,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,185,449,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,185,384,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,185,506,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,185,343,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,185,387,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,240,424,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,240,386,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,240,528,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,240,459,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,240,599,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,240,395,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,240,448,"IS 732:2019 Table 22, method D2"
Cu,XLPE,A1,2,300,486,"IS 732:2019 Table 22, method A1"
Cu,XLPE,A2,2,300,442,"IS 732:2019 Table 22, method A2"
Cu,XLPE,B1,2,300,603,"IS 732:2019 Table 22, method B1"
Cu,XLPE,B2,2,300,532,"IS 732:2019 Table 22, method B2"
Cu,XLPE,C,2,300,693,"IS 732:2019 Table 22, method C"
Cu,XLPE,D1,2,300,446,"IS 732:2019 Table 22, method D1"
Cu,XLPE,D2,2,300,502,"IS 732:2019 Table 22, method D2"
Al,XLPE,A1,2,2.5,20,"IS 732:2019 Table 22, method A1"
Al,XLPE,A2,2,2.5,19.5,"IS 732:2019 Table 22, method A2"
Al,XLPE,B1,2,2.5,25,"IS 732:2019 Table 22, method B1"
Al,XLPE,B2,2,2.5,23,"IS 732:2019 Table 22, method B2"
Al,XLPE,C,2,2.5,26,"IS 732:2019 Table 22, method C"
Al,XLPE,D1,2,2.5,26,"IS 732:2019 Table 22, method D1"
Al,XLPE,A1,2,4,27,"IS 732:2019 Table 22, method A1"
Al,XLPE,A2,2,4,26,"IS 732:2019 Table 22, method A2"
Al,XLPE,B1,2,4,33,"IS 732:2019 Table 22, method B1"
Al,XLPE,B2,2,4,31,"IS 732:2019 Table 22, method B2"
Al,XLPE,C,2,4,35,"IS 732:2019 Table 22, method C"
Al,XLPE,D1,2,4,33,"IS 732:2019 Table 22, method D1"
Al,XLPE,A1,2,6,35,"IS 732:2019 Table 22, method A1"
Al,XLPE,A2,2,6,33,"IS 732:2019 Table 22, method A2"
Al,XLPE,B1,2,6,43,"IS 732:2019 Table 22, method B1"
Al,XLPE,B2,2,6,40,"IS 732:2019 Table 22, method B2"
Al,XLPE,C,2,6,45,"IS 732:2019 Table 22, method C"
Al,XLPE,D1,2,6,42,"IS 732:2019 Table 22, method D1"
Al,XLPE,A1,2,10,48,"IS 732:2019 Table 22, method A1"
Al,XLPE,A2,2,10,45,"IS 732:2019 Table 22, method A2"
Al,XLPE,B1,2,10,59,"IS 732:2019 Table 22, method B1"
Al,XLPE,B2,2,10,54,"IS 732:2019 Table 22, method B2"
Al,XLPE,C,2,10,62,"IS 732:2019 Table 22, method C"
Al,XLPE,D1,2,10,55,"IS 732:2019 Table 22, method D1"
Al,XLPE,A1,2,16,64,"IS 732:2019 Table 22, method A1"
Al,XLPE,A2,2,16,60,"IS 732:2019 Table 22, method A2"
Al,XLPE,B1,2,16,79,"IS 732:2019 Table 22, method B1"
Al,XLPE,B2,2,16,72,"IS 732:2019 Table 22, method B2"
Al,XLPE,C,2,16,84,"IS 732:2019 Table 22, method C"
Al,XLPE,D1,2,16,71,"IS 732:2019 Table 22, method D1"
Al,XLPE,D2,2,16,76,"IS 732:2019 Table 22, method D2"
Al,XLPE,A1,2,25,84,"IS 732:2019 Table 22, method A1"
Al,XLPE,A2,2,25,78,"IS 732:2019 Table 22, method A2"
Al,XLPE,B1,2,25,105,"IS 732:2019 Table 22, method B1"
Al,XLPE,B2,2,25,94,"IS 732:2019 Table 22, method B2"
Al,XLPE,C,2,25,101,"IS 732:2019 Table 22, method C"
Al,XLPE,D1,2,25,90,"IS 732:2019 Table 22, method D1"
Al,XLPE,D2,2,25,98,"IS 732:2019 Table 22, method D2"
Al,XLPE,A1,2,35,103,"IS 732:2019 Table 22, method A1"
Al,XLPE,A2,2,35,96,"IS 732:2019 Table 22, method A2"
Al,XLPE,B1,2,35,130,"IS 732:2019 Table 22, method B1"
Al,XLPE,B2,2,35,115,"IS 732:2019 Table 22, method B2"
Al,XLPE,C,2,35,126,"IS 732:2019 Table 22, method C"
Al,XLPE,D1,2,35,108,"IS 732:2019 Table 22, method D1"
Al,XLPE,D2,2,35,117,"IS 732:2019 Table 22, method D2"
Al,XLPE,A1,2,50,125,"IS 732:2019 Table 22, method A1"
Al,XLPE,A2,2,50,115,"IS 732:2019 Table 22, method A2"
Al,XLPE,B1,2,50,157,"IS 732:2019 Table 22, method B1"
Al,XLPE,B2,2,50,138,"IS 732:2019 Table 22, method B2"
Al,XLPE,C,2,50,154,"IS 732:2019 Table 22, method C"
Al,XLPE,D1,2,50,128,"IS 732:2019 Table 22, method D1"
Al,XLPE,D2,2,50,139,"IS 732:2019 Table 22, method D2"
Al,XLPE,A1,2,70,158,"IS 732:2019 Table 22, method A1"
Al,XLPE,A2,2,70,145,"IS 732:2019 Table 22, method A2"
Al,XLPE,B1,2,70,200,"IS 732:2019 Table 22, method B1"
Al,XLPE,B2,2,70,175,"IS 732:2019 Table 22, method B2"
Al,XLPE,C,2,70,198,"IS 732:2019 Table 22, method C"
Al,XLPE,D1,2,70,158,"IS 732:2019 Table 22, method D1"
Al,XLPE,D2,2,70,170,"IS 732:2019 Table 22, method D2"
Al,XLPE,A1,2,95,191,"IS 732:2019 Table 22, method A1"
Al,XLPE,A2,2,95,175,"IS 732:2019 Table 22, method A2"
