conductor,insulation,method,cores,size_mm2,amps,source
Cu,PVC,D1,2,120,231,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,120,261,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,150,240,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,150,219,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,150,300,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,150,258,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,150,344,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,150,261,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,150,293,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,185,273,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,185,248,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,185,341,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,185,294,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,185,392,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,185,292,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,185,331,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,240,321,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,240,291,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,240,400,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,240,344,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,240,461,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,240,336,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,240,382,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,300,367,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,300,334,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,300,458,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,300,394,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,300,530,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,300,379,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,300,427,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
